"","YEAR","n","GPP","GPPobs","ET","ETobs","WUEmed","WUEintrinsicmed","WUEmean","WUEintrinsicmean","VPDobs","VPDmedian","VPDmean"
"1",1992,88,1.327422564,85,0.351231700560916,88,3.00318293774183,1.21480636267871,6.50592723349008,2.05717627860533,88,0.327105434782609,0.39530280040662
"2",1993,86,0.2218136076,80,0.15877446154071,86,2.56983114442108,NA,4.53547947389976,NA,73,NA,NA
"3",1994,95,0.7808876712,93,0.273419698053344,95,2.81755228299667,NA,5.14343031324727,NA,94,NA,NA
"4",1995,140,0.543724389,137,0.325326112786654,140,2.27094175211744,NA,2.89784650406045,NA,137,NA,NA
"5",1996,146,1.0435616802,145,0.333099252565654,146,3.20915836125957,1.19543858764871,4.64864916472385,1.27413567444527,146,0.321875,0.370297411237662
"6",1997,148,0.2621335275,139,0.284180700744597,148,2.24772412573595,NA,3.58814129997654,NA,147,NA,NA
"7",1998,182,0.4823256906,176,0.259733539930437,182,2.49696245489329,0.864134592077746,3.35630164605658,1.14287208688871,182,0.294652597402597,0.414275491823317
"8",1999,172,0.541562463,164,0.283212619368731,172,2.32650219521455,0.732477411689111,2.93467042941917,1.20276611338808,172,0.365782608695652,0.459908929496783
"9",2000,132,0.9669214035,129,0.37783529398884,132,2.40854205773855,0.931403733419665,4.01994960696745,1.03394336848816,132,0.335083333333333,0.383416775691051
"10",2001,138,0.2279750967,127,0.179408609915721,138,2.56877546977088,0.682715136247565,2.96880679083641,1.36650926659934,138,0.326709893048128,0.440556432203942
"11",2002,63,1.1767363218,61,0.29611390262196,63,3.21199086234179,1.19301401636506,4.68875440729688,1.3521768200609,63,0.281217391304348,0.385761240761577
"12",2003,68,0.3288289446,65,0.125945776904313,68,3.17581952868846,NA,4.7575897968661,NA,35,NA,NA
"13",2004,107,0.4397357484,100,0.227062768273782,107,3.00866218797171,1.33133301817748,3.87304380651478,1.55766191795483,107,0.343642857142857,0.430517788082089
"14",2005,96,0.0395632458,71,0.0957513037396016,96,0.696534309046174,0.283615718762355,1.80558750049126,0.809346799973004,96,0.387025,0.405507196073289
"15",2006,101,0.2732674464,93,0.246337474831368,101,1.52842003296083,0.704750125350776,3.74845696264892,1.62740457727647,101,0.404521739130435,0.478774672802712
"16",2007,86,0.4877305056,79,0.258598808539073,86,3.04482762186299,1.35484419421473,5.13215854315199,3.68370733051083,86,0.449041666666667,0.576434156614438
"17",2008,65,1.0632352068,57,0.31754982381714,65,2.26674594345364,1.3176964447441,2.83733598378935,2.00802969457621,65,0.523458333333333,0.548674347780628
"18",2009,63,0.3435300414,60,0.182633607674253,63,3.09114380057017,1.29659956301934,3.90101460519322,1.88203758768158,63,0.34925,0.544601257869574
"19",2011,89,0.4985401356,86,0.175323111546023,89,2.85544342024457,NA,3.3693081293632,NA,84,NA,NA
"20",2012,132,0.6043664133,120,0.323997359119784,132,2.7210319825338,0.865436935776465,2.83056348531623,1.3479220362503,131,0.373739130434783,0.480349517167235
"21",2013,109,0.5910705684,99,0.327010252094727,109,2.41052865891991,0.839646482757519,2.40037878273479,1.03246052398426,109,0.287761904761905,0.403737392974103
"22",2014,93,0.3984429618,86,0.228845954703695,93,2.81101728691815,0.778611766943892,3.21750865299061,1.36437063677554,93,0.293647058823529,0.421840732611249
