"","YEAR","n","GPP","GPPobs","ET","ETobs","WUEmed","WUEintrinsicmed","WUEmean","WUEintrinsicmean","VPDobs","VPDmedian","VPDmean"
"1",1996,85,0.54082740816,85,0.253906998899706,85,2.35582264168576,1.00793101886979,3.54414546630855,1.68720564450377,85,0.3535,0.414983089891242
"2",1997,100,3.07797728472,100,0.54072723119573,100,3.33820919449402,2.53829032198763,4.30148555079142,3.08212774467763,99,0.559235054347826,0.668097599639854
"3",1998,100,3.45374164278,100,1.02058890869767,100,2.71686438296737,2.07586481583809,3.86924096571288,1.82803478991217,100,0.471604166666667,0.571511491187961
"4",1999,107,1.09895022432,107,0.470656682199168,107,2.71952755950482,0.884953505732173,3.50603632071623,1.47413280177106,107,0.2401875,0.451498973913681
"5",2000,83,0.20780432712,83,0.250248786053117,83,2.38626549245807,0.39423027078054,3.51385836871105,1.14098760516568,81,0.162375,0.301424139567388
"6",2001,125,4.03344048042,125,0.907298961318713,125,3.12639848007599,2.35335344686155,3.88413647818225,2.02983471077579,125,0.526520833333333,0.5854195
"7",2002,83,0.15008090292,83,0.157401116982628,83,2.81516063818457,0.656348240256144,3.88972094180522,1.71367075558278,83,0.271958333333333,0.444050614251879
"8",2003,98,2.42885900322,98,0.497496820809423,98,3.04515185735524,1.74272785651915,3.17152247253393,1.67921871421581,98,0.3934375,0.460709304974408
"9",2004,103,1.49598793422,103,0.279499000318337,103,3.48432110897919,1.87512731263815,4.14516595756636,1.98120666573042,103,0.385833333333333,0.440081681197932
"10",2005,85,0.10411835616,85,0.153137012169421,85,1.12581219422349,NA,3.10398801111908,NA,0,NA,NA
"11",2006,118,0.16963552359,118,0.0973964474017702,118,2.4327782431247,NA,4.58603569658913,NA,0,NA,NA
"12",2007,120,0.97548263046,120,0.261458322999063,120,2.77875593341095,NA,4.41277953662988,NA,82,NA,NA
"13",2008,91,2.31224471478,91,0.553193526039195,91,3.99702443187192,NA,4.81523563328376,NA,0,NA,NA
"14",2009,66,1.66701790008,66,0.502498626609207,66,2.63321308787862,NA,3.03662242981172,NA,0,NA,NA
"15",2010,118,1.98456159096,117,0.46109930722261,118,3.23051967654782,1.6966582658914,3.12336035917549,1.90528136232002,118,0.395864583333333,0.537272254369413
"16",2011,93,0.58110408954,93,0.391660559854585,93,1.81491059696923,0.703178700740969,3.09321512565595,1.31175831056417,93,0.308936170212766,0.468237997373484
"17",2012,86,2.84112748179,86,0.666866888290587,86,2.58396254776958,NA,3.5434845790311,NA,85,NA,NA
"18",2013,115,0.7138679652,115,0.174112148088419,115,3.13210850363251,NA,4.34483145930469,NA,102,NA,NA
"19",2014,80,1.86493141575,80,0.397695969112075,80,2.28723572640969,0.792099816759403,3.15093894786928,1.42047073604539,79,0.244125,0.410747558362884
